queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,calib_ns,unix_time
mutex,throughput,4,4,4,1024,none,2.00,1000000,1,29033359,2.0028,14.496,0.0,0,0,0,0,0.1237,117101083,1783189310
moody,throughput,4,4,4,1024,none,2.00,1000000,1,15320748,2.0160,7.599,0.0,0,0,0,0,0.1340,120285750,1783189312
ms,throughput,4,4,1,1024,all-int,2.00,1000000,1,13041824,2.0003,6.520,0.0,0,0,0,0,0.0185,127562750,1783189315
vyukov,throughput,4,4,1,1024,all-int,2.00,1000000,1,16633286,2.0051,8.295,0.0,0,0,0,0,0.0295,122689208,1783189317
faa,throughput,4,4,1,1024,all-int,2.00,1000000,1,34401068,2.0052,17.156,0.0,0,0,0,0,0.0027,125700458,1783189320
mutex,throughput,4,4,1,1024,all-int,2.00,1000000,1,37251749,2.0051,18.578,0.0,0,0,0,0,0.0056,125783250,1783189322
moody,throughput,4,4,1,1024,all-int,2.00,1000000,1,15650616,2.0102,7.786,0.0,0,0,0,0,0.0932,123045083,1783189325
ms,throughput,4,4,1,1024,all-bg,2.00,1000000,1,10680719,421.4646,0.025,0.0,0,0,0,0,0.0149,122923958,1783189747
vyukov,throughput,4,4,1,1024,all-bg,2.00,1000000,1,1154443,2.0145,0.573,0.0,0,0,0,0,0.2659,129157416,1783189749
faa,throughput,4,4,1,1024,all-bg,2.00,1000000,1,15798143,2.0052,7.879,0.0,0,0,0,0,0.0390,115947625,1783189752
mutex,throughput,4,4,1,1024,all-bg,2.00,1000000,1,8723331,2.0052,4.350,0.0,0,0,0,0,0.0102,123492167,1783189754
moody,throughput,4,4,1,1024,all-bg,2.00,1000000,1,2031968,2.0051,1.013,0.0,0,0,0,0,0.2224,128537542,1783189756
ms,throughput,4,4,1,1024,prod-bg,2.00,1000000,1,5344940,2.0042,2.667,0.0,0,0,0,0,0.0317,121972500,1783189759
vyukov,throughput,4,4,1,1024,prod-bg,2.00,1000000,1,8150115,2.0055,4.064,0.0,0,0,0,0,0.0268,128118917,1783189761
faa,throughput,4,4,1,1024,prod-bg,2.00,1000000,1,20667576,2.0013,10.327,0.0,0,0,0,0,0.0110,111862875,1783189764
mutex,throughput,4,4,1,1024,prod-bg,2.00,1000000,1,5675640,2.0008,2.837,0.0,0,0,0,0,0.0091,131480084,1783189766
moody,throughput,4,4,1,1024,prod-bg,2.00,1000000,1,4868289,2.0052,2.428,0.0,0,0,0,0,0.1031,125295667,1783189769
ms,throughput,4,4,1,1024,cons-bg,2.00,1000000,1,29061457,6.9738,4.167,0.0,0,0,0,0,0.0029,133210375,1783189776
vyukov,throughput,4,4,1,1024,cons-bg,2.00,1000000,1,13015556,2.0052,6.491,0.0,0,0,0,0,0.0059,124813416,1783189779
faa,throughput,4,4,1,1024,cons-bg,2.00,1000000,1,24729945,2.0052,12.333,0.0,0,0,0,0,0.0052,118042583,1783189781
